Element type,Element Label,Size,Unit,Material,Price
accessory,sipca apa,0.6,pieces,sipca apa,6.0498
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,surub intre corpuri,10,pieces,surub intre corpuri,0.39
front,C1_1,0.474416,m2,A34R3,146
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,sipca apa,0.6,pieces,sipca apa,6.0498
pal,C2.jos,0.33,sheet,Alb W962ST2,24.069
pal,C2.lat,0.4301,sheet,Alb W962ST2,26.79174
pal,C2.lat,0.4301,sheet,Alb W962ST2,26.79174
pal,C2.leg1,0.0564,sheet,Alb W962ST2,7.02696
pal,C2.leg2,0.0564,sheet,Alb W962ST2,7.02696
accessory,surub PFL,18,pieces,surub PFL,0.4662
pal,C2.leg,0.0564,sheet,Alb W962ST2,5.0134799999999995
front,C2_1,0.474416,m2,A34R3,146
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,sipca apa,0.6,pieces,sipca apa,6.0498
pal,C3.jos,0.33,sheet,Alb W962ST2,24.069
pal,C3.lat,0.4301,sheet,Alb W962ST2,26.79174
pal,C3.lat,0.4301,sheet,Alb W962ST2,26.79174
pal,C3.leg1,0.0564,sheet,Alb W962ST2,7.02696
pal,C3.leg2,0.0564,sheet,Alb W962ST2,7.02696
accessory,surub PFL,18,pieces,surub PFL,0.4662
front,C3_1,0.093572,m2,A34R3,28
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
pal,C3.sep.h,0.3102,sheet,Alb W962ST2,17.0
accessory,surub,4,pieces,surub,0.6868
pal,C3.ser.left,0.0537,sheet,Alb W962ST2,5.63109
pal,C3.ser.front,0.0502,sheet,Alb W962ST2,3.79214
pal,C3.ser.back,0.0502,sheet,Alb W962ST2,3.79214
pal,C3.ser.right,0.0537,sheet,Alb W962ST2,5.63109
pfl,C3.ser,0.284622,sheet,Alb,6
accessory,pereche glisiera 500 mm,1,pieces,pereche glisiera 500 mm,49.8967
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,20,pieces,surub PFL,0.518
blat,Blat,1.08,m,Stejar Alpin Keindl,249
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.6,pieces,sina perete,6.06
accessory,surub diblu perete,3,pieces,surub diblu perete,7.17
pal,C4.lat1,0.285,sheet,Alb W962ST2,21.5335
pal,C4.jos,0.168636,sheet,Alb W962ST2,11.01348
pal,C4.lat2,0.285,sheet,Alb W962ST2,21.5335
pal,C4.sus,0.168636,sheet,Alb W962ST2,11.01348
accessory,surub PFL,20,pieces,surub PFL,0.518
front,C4_1,0.263934,m2,A34R3,81
accessory,balama aplicata,2,pieces,balama aplicata,14.4
accessory,amortizor,1,pieces,amortizor,7.74
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,maner,1,pieces,maner,10.0
front,C4.fr_lat,0.3021,m2,A34R3,93
pal,C4_fata,0.3021,sheet,Alb W962ST2,35.66496
accessory,surub,8,pieces,surub,1.3736
